City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,christiana,-27.91,25.16,66.85,24,0,6.4,ZA,1599585824
322,damietta,31.42,31.81,84.2,79,40,9.17,EG,1599585824
323,kirkwall,58.98,-2.96,57.2,87,75,6.93,GB,1599585824
324,sitka,57.05,-135.33,59.23,91,99,1.57,US,1599586089
325,lewiston,44.1,-70.21,81.0,61,1,3.36,US,1599585825
326,sontra,51.07,9.93,71.01,60,27,1.01,DE,1599585825
327,mugur-aksy,50.35,90.5,38.25,70,61,3.47,RU,1599585825
328,syasstroy,60.14,32.57,54.48,85,92,7.14,RU,1599585825
329,newport,51.59,-3.0,66.0,88,78,1.99,GB,1599585826
330,makakilo city,21.35,-158.09,78.8,73,1,5.82,US,1599586090
331,sioux lookout,50.1,-91.92,48.2,66,75,11.41,CA,1599586090
332,lincoln,40.8,-96.67,46.99,93,100,3.0,US,1599585755
333,molokovo,58.17,36.76,50.47,96,100,5.21,RU,1599585826
334,baiyin,36.56,104.21,60.8,82,90,4.47,CN,1599585826
335,beloha,-25.17,45.05,68.27,79,1,16.15,MG,1599585827
336,preobrazheniye,42.9,133.91,65.16,90,67,10.38,RU,1599585827
337,guiratinga,-16.35,-53.76,102.33,12,0,4.65,BR,1599585827
338,guerrero negro,27.98,-114.06,81.75,56,0,1.25,MX,1599586091
339,waddan,29.16,16.14,96.39,16,0,11.16,LY,1599585827
340,mushie,-3.02,16.9,87.17,45,70,1.81,CD,1599585828
341,longyearbyen,78.22,15.64,37.4,69,40,11.41,SJ,1599586091
342,grafton,42.21,-71.69,82.99,65,1,8.05,US,1599585822
343,new ulm,44.31,-94.46,48.99,70,90,5.82,US,1599585718
344,muroto,33.28,134.15,78.08,68,0,5.03,JP,1599585828
345,amapa,1.0,-52.0,97.66,30,1,5.39,BR,1599585539
346,mitzic,0.78,11.55,75.16,81,78,2.48,GA,1599585829
347,chinsali,-10.54,32.08,65.46,37,0,5.99,ZM,1599585829
348,acapulco,16.86,-99.89,86.0,70,75,2.24,MX,1599585544
349,maceio,-9.67,-35.74,80.6,61,75,13.87,BR,1599585721
350,staryy nadym,65.61,72.68,51.89,78,100,14.54,RU,1599585829
351,laguna,38.42,-121.42,84.99,15,90,20.8,US,1599585829
352,porto novo,6.5,2.6,82.4,78,40,17.22,BJ,1599585830
353,poum,-20.23,164.02,69.73,81,35,19.26,NC,1599586093
354,batagay-alyta,67.8,130.41,35.17,86,0,1.77,RU,1599585830
355,rocky mountain house,52.37,-114.92,50.52,48,71,3.83,CA,1599586063
356,norrtalje,59.76,18.7,64.0,71,14,3.0,SE,1599585668
357,gravdal,68.12,13.5,50.0,87,75,13.87,NO,1599586094
358,sydney,-33.87,151.21,62.6,77,100,6.93,AU,1599585722
359,polovinnoye,54.79,65.99,46.29,68,1,5.75,RU,1599585831
360,zyryanka,65.75,150.85,40.3,89,94,8.39,RU,1599585831
361,izumo,35.37,132.77,73.4,78,75,2.24,JP,1599585831
362,manjacaze,-24.71,33.88,64.26,92,6,4.85,MZ,1599585532
363,coquimbo,-29.95,-71.34,57.2,71,90,9.17,CL,1599586094
364,iskateley,67.68,53.15,51.8,86,83,4.7,RU,1599585537
365,ahuimanu,21.44,-157.84,79.0,69,20,13.87,US,1599585832
366,aguas belas,-9.11,-37.12,84.81,43,66,13.47,BR,1599585685
367,khandyga,62.67,135.6,39.7,83,0,1.66,RU,1599585832
368,zaykovo,57.56,62.76,49.78,81,75,5.53,RU,1599585832
369,richards bay,-28.78,32.04,68.4,69,0,10.83,ZA,1599586095
370,kalabo,-14.97,22.68,74.44,18,0,4.99,ZM,1599585833
371,solnechnyy,50.72,136.63,52.9,94,100,9.86,RU,1599586095
372,marawi,8.0,124.29,73.99,91,76,4.0,PH,1599585511
373,baherden,38.44,57.43,71.76,19,36,4.47,TM,1599585529
374,ambulu,-8.35,113.61,73.9,88,3,4.59,ID,1599585833
375,ugoofaaru,5.67,73.0,82.54,81,33,19.84,MV,1599585668
376,pedasi,7.53,-80.03,80.47,80,98,10.2,PA,1599585833
377,mildura,-34.2,142.15,55.4,76,90,8.05,AU,1599585745
378,morshansk,53.44,41.81,54.39,85,99,9.73,RU,1599585834
379,hokota,36.15,140.52,86.0,83,20,1.12,JP,1599585834
380,port arthur,38.8,121.27,69.8,68,33,12.91,CN,1599585528
381,tepalcatepec,19.18,-102.85,85.51,63,49,1.54,MX,1599585835
382,nadvoitsy,63.87,34.32,53.53,82,57,6.35,RU,1599585835
